channel,date,is_release,hour,messages
#ubuntu,2013-03-21,False,22,121
#ubuntu,2013-03-21,False,23,93
#ubuntu,2013-04-11,False,0,278
#ubuntu,2013-04-11,False,1,106
#ubuntu,2013-04-11,False,2,101
#ubuntu,2013-04-11,False,3,159
#ubuntu,2013-04-11,False,4,138
#ubuntu,2013-04-11,False,5,94
#ubuntu,2013-04-11,False,6,176
#ubuntu,2013-04-11,False,7,140
#ubuntu,2013-04-11,False,8,138
#ubuntu,2013-04-11,False,9,117
#ubuntu,2013-04-11,False,10,83
#ubuntu,2013-04-11,False,11,237
#ubuntu,2013-04-11,False,12,150
#ubuntu,2013-04-11,False,13,176
#ubuntu,2013-04-11,False,14,179
#ubuntu,2013-04-11,False,15,140
#ubuntu,2013-04-11,False,16,155
#ubuntu,2013-04-11,False,17,193
#ubuntu,2013-04-11,False,18,192
#ubuntu,2013-04-11,False,19,276
#ubuntu,2013-04-11,False,20,227
#ubuntu,2013-04-11,False,21,207
#ubuntu,2013-04-11,False,22,195
#ubuntu,2013-04-11,False,23,138
#ubuntu,2013-04-18,False,0,100
#ubuntu,2013-04-18,False,1,197
#ubuntu,2013-04-18,False,2,224
#ubuntu,2013-04-18,False,3,218
#ubuntu,2013-04-18,False,4,93
#ubuntu,2013-04-18,False,5,93
#ubuntu,2013-04-18,False,6,174
#ubuntu,2013-04-18,False,7,91
#ubuntu,2013-04-18,False,8,168
#ubuntu,2013-04-18,False,9,241
#ubuntu,2013-04-18,False,10,141
#ubuntu,2013-04-18,False,11,189
#ubuntu,2013-04-18,False,12,60
#ubuntu,2013-04-18,False,13,48
#ubuntu,2013-04-18,False,14,135
#ubuntu,2013-04-18,False,15,107
#ubuntu,2013-04-18,False,16,212
#ubuntu,2013-04-18,False,17,161
#ubuntu,2013-04-18,False,18,151
#ubuntu,2013-04-18,False,19,119
#ubuntu,2013-04-18,False,20,157
#ubuntu,2013-04-18,False,21,119
#ubuntu,2013-04-18,False,22,160
#ubuntu,2013-04-18,False,23,106
#ubuntu,2013-04-25,True,0,155
#ubuntu,2013-04-25,True,1,295
#ubuntu,2013-04-25,True,2,160
#ubuntu,2013-04-25,True,3,196
#ubuntu,2013-04-25,True,4,99
#ubuntu,2013-04-25,True,5,160
#ubuntu,2013-04-25,True,6,154
#ubuntu,2013-04-25,True,7,169
#ubuntu,2013-04-25,True,8,135
#ubuntu,2013-04-25,True,9,54
#ubuntu,2013-04-25,True,10,177
#ubuntu,2013-04-25,True,11,231
#ubuntu,2013-04-25,True,12,219
#ubuntu,2013-04-25,True,13,228
#ubuntu,2013-04-25,True,14,230
#ubuntu,2013-04-25,True,15,239
#ubuntu,2013-04-25,True,16,255
#ubuntu,2013-04-25,True,17,366
#ubuntu,2013-04-25,True,18,183
#ubuntu,2013-04-25,True,19,242
#ubuntu,2013-04-25,True,20,210
#ubuntu,2013-04-25,True,21,307
#ubuntu,2013-04-25,True,22,310
#ubuntu,2013-04-25,True,23,194
#ubuntu,2013-05-02,False,0,147
#ubuntu,2013-05-02,False,1,107
#ubuntu,2013-05-02,False,2,267
#ubuntu,2013-05-02,False,3,246
#ubuntu,2013-05-02,False,4,166
#ubuntu,2013-05-02,False,5,189
#ubuntu,2013-05-02,False,6,24
#ubuntu,2013-05-02,False,7,105
#ubuntu,2013-05-02,False,8,99
#ubuntu,2013-05-02,False,9,206
#ubuntu,2013-05-02,False,10,270
#ubuntu,2013-05-02,False,11,347
#ubuntu,2013-05-02,False,12,317
#ubuntu,2013-05-02,False,13,296
#ubuntu,2013-05-02,False,14,276
#ubuntu,2013-05-02,False,15,143
#ubuntu,2013-05-02,False,16,110
#ubuntu,2013-05-02,False,17,233
#ubuntu,2013-05-02,False,18,236
#ubuntu,2013-05-02,False,19,231
#ubuntu,2013-05-02,False,20,160
#ubuntu,2013-05-02,False,21,185
#ubuntu,2013-05-02,False,22,121
#ubuntu,2013-05-02,False,23,231
#ubuntu,2013-05-09,False,0,71
#ubuntu,2013-05-09,False,1,123
#ubuntu,2013-05-09,False,2,180
#ubuntu,2013-05-09,False,3,128
#ubuntu,2013-05-09,False,4,154
#ubuntu,2013-05-09,False,5,133
#ubuntu,2013-05-09,False,6,71
#ubuntu,2013-05-09,False,7,132
#ubuntu,2013-05-09,False,8,104
#ubuntu,2013-05-09,False,9,95
#ubuntu,2013-05-09,False,10,88
#ubuntu,2013-05-09,False,11,78
#ubuntu,2013-05-09,False,12,87
#ubuntu,2013-05-09,False,13,186
#ubuntu,2013-05-09,False,14,343
#ubuntu,2013-05-09,False,15,74
#ubuntu,2013-05-09,False,16,136
#ubuntu,2013-05-09,False,17,128
#ubuntu,2013-05-09,False,18,200
#ubuntu,2013-05-09,False,19,381
#ubuntu,2013-05-09,False,20,130
#ubuntu,2013-05-09,False,21,133
#ubuntu,2013-05-09,False,22,231
#ubuntu,2013-05-09,False,23,162
#ubuntu,2013-05-16,False,0,213
#ubuntu,2013-05-16,False,1,156
#ubuntu,2013-05-16,False,2,241
#ubuntu,2013-05-16,False,3,257
#ubuntu,2013-05-16,False,4,227
#ubuntu,2013-05-16,False,5,131
#ubuntu,2013-05-16,False,6,166
#ubuntu,2013-05-16,False,7,64
#ubuntu,2013-05-16,False,8,135
